frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
196,5,1615959,319030,1209205,0,5446,307922,0,55373,784674,213646,44234,110063,0,3,261579,250502,6749
197,5,1629242,124054,1407167,0,5677,113077,0,53326,959417,210331,73545,109291,0,3,263318,252049,6774
198,4,1527172,128262,1317908,0,5551,117537,0,150105,774521,206169,73560,112295,0,2,176861,169293,4515
199,4,1320327,120304,1112817,0,5573,109591,0,149450,591708,211754,52021,106605,0,2,181039,173357,4515
200,4,1135250,114158,933680,0,5518,103503,0,54853,503041,215140,52809,106603,0,0,0,0,0
201,4,1284709,127107,1072392,0,5594,116176,0,53433,487275,381407,45390,103584,0,0,0,0,0
202,5,1360465,127857,1148551,0,5603,117027,0,54956,578801,217779,44157,251625,0,1,89752,85961,2257
203,4,1764678,222486,1461126,0,5499,211953,0,53502,776047,203130,265710,161459,0,4,349644,334987,8982
204,6,1818513,239595,1495476,0,5745,226703,0,55124,754901,222004,165107,297040,0,3,262232,250793,6747
205,4,1597358,209608,1300382,0,5626,199016,0,53630,758232,240480,73229,173468,0,2,180325,172902,4514
206,4,1244067,114304,1038382,0,5528,103832,0,54836,561482,226152,79420,115193,0,0,0,0,0
207,4,1183315,107284,968535,0,5644,96227,0,53395,499288,227250,71408,115794,0,0,0,0,0
208,4,1302721,112148,1088599,0,5571,101502,0,54913,575598,232341,89937,134593,0,0,0,0,0
209,4,1263939,105342,1048225,0,5541,94669,0,53050,549286,224992,99645,119999,0,0,0,0,0
210,4,1215969,105683,1001985,0,5583,94993,0,54993,502915,226389,98371,118063,0,0,0,0,0
211,6,1295043,116459,1055134,0,5591,105403,0,53272,555086,235492,89239,120768,0,0,0,0,0
212,5,1258398,106302,1036867,0,5518,95669,0,54833,521672,251247,89171,118605,0,0,0,0,0
213,4,1250017,106808,1030073,0,5613,95813,0,53168,521007,245491,88999,120090,0,0,0,0,0
214,4,1239074,114531,1011322,0,5623,103711,0,54729,495822,253650,89243,116520,0,0,0,0,0
215,4,1326094,131588,1076638,0,5551,120820,0,53249,581744,240821,80778,118811,0,0,0,0,0
216,4,1275444,129980,1042186,0,5465,119465,0,54725,554470,237157,80190,114328,0,0,0,0,0
217,4,1565309,132116,1304203,0,5612,121003,0,53672,777138,243150,90584,138400,0,0,0,0,0
218,5,1405468,124844,1177103,0,5601,114241,0,55032,705481,236398,90366,88545,0,0,0,0,0
219,5,1286877,116176,1060289,0,5601,105471,0,52795,593205,239905,89316,83831,0,0,0,0,0
220,5,1233894,115197,1015470,0,5518,104156,0,54987,557767,239821,78785,82791,0,0,0,0,0
221,5,1211952,114924,992211,0,5666,104221,0,53314,528641,244553,79379,85064,0,0,0,0,0
222,3,1161867,113860,949495,0,5633,103149,0,54730,481776,250006,79291,82390,0,0,0,0,0
223,3,1253850,120624,1032046,0,5644,109478,0,53202,550621,236078,87815,103117,0,0,0,0,0
224,4,1234338,115792,1017111,0,5518,105239,0,54780,540390,242666,86782,91197,0,0,0,0,0
225,6,1219523,115956,996052,0,5604,105295,0,53187,519167,249561,85884,87014,0,0,0,0,0
226,5,1205707,115605,987901,0,5550,105082,0,55125,525361,246272,75167,84714,0,0,0,0,0
227,4,1166610,114211,953216,0,5656,103165,0,53282,498438,241912,75875,82428,0,0,0,0,0
228,4,1261802,121008,1043422,0,5603,110334,0,54970,565247,235579,85718,100674,0,0,0,0,0
229,4,1182362,115539,966058,0,5594,104879,0,52989,488393,242402,88123,92911,0,0,0,0,0
230,5,1184365,116105,964958,0,5518,105493,0,54715,501835,239804,82889,84478,0,0,0,0,0
231,5,1171630,115755,956447,0,5593,105066,0,53139,511715,235158,71856,83275,0,0,0,0,0
232,3,1151479,113530,943774,0,5538,102904,0,55455,493487,239567,69622,84490,0,0,0,0,0
233,3,1598750,121157,1195921,0,5604,110040,0,53432,600410,359924,78792,102057,0,0,0,0,0
234,5,1169256,115699,959118,0,5604,105062,0,54908,512096,222603,76991,91264,0,0,0,0,0
235,5,1336015,125438,1111872,0,5653,114593,0,53728,474181,421314,77521,83867,0,0,0,0,0
236,4,1309944,125501,1090930,0,5611,114793,0,55153,468933,414017,66302,85348,0,0,0,0,0
237,5,1334155,125685,1112640,0,5528,114953,0,53723,456470,455605,63010,82570,0,0,0,0,0
238,3,1306710,126013,1090448,0,5591,115387,0,55109,466616,422578,58875,86093,0,0,0,0,0
239,3,1298353,126921,1080154,0,5748,114205,0,53508,462118,423795,59676,79772,0,0,0,0,0
240,4,1283372,124954,1069046,0,5506,114371,0,55236,454427,415178,58659,84329,0,0,0,0,0
241,4,1313652,125026,1097424,0,5561,114439,0,53672,678680,224917,59274,79645,0,0,0,0,0
242,3,1359227,127721,1143357,0,5643,116985,0,55391,715692,230320,56497,84221,0,0,0,0,0
243,4,1328992,130196,1110971,0,7795,117373,0,54003,493786,424661,57568,79670,0,0,0,0,0
244,4,1302486,126914,1091266,0,5733,114190,0,55381,465597,433967,53334,81747,0,0,0,0,0
245,4,1182451,127201,977768,0,5606,116556,0,53696,435543,356735,54663,75913,0,0,0,0,0
246,3,1195030,127567,999968,0,5438,116942,0,55379,419812,389865,51510,82209,0,0,0,0,0
247,4,1194556,127588,998870,0,5441,117048,0,53627,442037,373617,52364,76049,0,0,0,0,0
248,4,1180900,127951,985319,0,5386,117414,0,55149,413897,384137,48636,82307,0,0,0,0,0
249,3,1234907,127082,1040455,0,5513,116491,0,53809,484623,375136,48958,76752,0,0,0,0,0
250,3,1206833,129600,1010391,0,5418,119110,0,55458,451164,374198,46249,82104,0,0,0,0,0
251,3,1267058,129715,1070090,0,5408,119217,0,53671,467247,423891,46986,77096,0,0,0,0,0
252,3,1212009,129536,1015629,0,5406,118963,0,55304,439106,391855,45987,82162,0,0,0,0,0
253,4,1184896,128873,987351,0,5546,118050,0,54005,412400,394725,47674,77349,0,0,0,0,0
254,4,1227615,129079,1032098,0,5363,118496,0,55695,468432,378505,46319,81932,0,0,0,0,0
255,3,1260872,127887,1065763,0,5461,116346,0,53659,478035,408687,47300,76883,0,0,0,0,0
256,3,1357106,134184,1156512,0,5438,122987,0,55323,726133,218924,53574,101370,0,0,0,0,0
257,4,1243316,129286,1044211,0,5429,118041,0,54037,459549,380857,61925,86589,0,0,0,0,0
258,5,1267557,129604,1068716,0,5491,118002,0,55479,478420,395225,52774,85644,0,0,0,0,0
259,4,1435653,134586,1231554,0,5513,123407,0,53879,786145,220250,71649,98417,0,0,0,0,0
260,6,1297658,131005,1089473,0,7815,117115,0,55365,452760,408843,78191,93058,0,0,0,0,0
261,4,1272078,129155,1058091,0,7899,114998,0,53449,437217,397690,78787,89710,0,0,0,0,0
262,4,1294722,126484,1077551,0,5696,114635,0,55225,443167,422927,68607,86367,0,0,0,0,0
263,4,1260332,128838,1042759,0,5715,114829,0,53742,432367,404137,69077,82197,0,0,0,0,0
264,4,1255873,125357,1039058,0,5558,113701,0,55223,441698,388473,66820,85605,0,0,0,0,0
265,4,1260549,131114,1037263,0,5646,119050,0,53662,437333,395570,67450,82033,0,0,0,0,0
266,4,1346849,124302,1129349,0,5558,112640,0,55318,445077,485576,58385,83730,0,0,0,0,0
